viajeid,title,tags
21,Chincha,Desayuno|Tour|Alojamiento|Regular|Playa|Viñedos|CulturaAfroperuana|PiscoSour|BailesAfroperuanos|Gastronomia|HaciendasColonial
22,Leymebamba,Desayuno|Tour|Alojamiento|Regular|Montañas|Cascadas|Ruinas|Kuelap|SarcófagosKarajía|Caminatas|ObservacionDeAves|Gastronomia|Festival
23,Caral,Desayuno|Tour|Alojamiento|Regular|Arqueologia|Valle|Cultura|Piramides|ObservacionDeAves|Gastronomia|MercadoArtesanal
24,Huancavelica,Desayuno|Tour|Alojamiento|Regular|Montañas|Lagunas|Cultura|FeriaHuancavelicana|TrenMachuPicchu|Gastronomia|Artesania|Festival
25,Moyobamba,Desayuno|Tour|Alojamiento|Regular|Selva|Amazonia|Fauna|Flora|CatarataDePaccha|TermasDeSanMateo|Gastronomia|Artesania
26,Ica,Desayuno|Tour|Alojamiento|Regular|Desierto|Viñedos|Cultura|Dunas|Buggies|Gastronomia|Sandboarding|Gastronomia
27,Huánuco,Desayuno|Tour|Alojamiento|Regular|Montañas|Lagunas|Cultura|FeriaDeHuánuco|Huascaran|Gastronomia|Artesania|Festival
28,Moquegua,Desayuno|Tour|Alojamiento|Regular|Montañas|Cultura|Museo|Mirador|Gastronomia|PaseoEnCuatrimoto|Gastronomia
29,Tacna,Desayuno|Tour|Alojamiento|Regular|Playa|Cultura|Monumentos|PaseoEnBici|Gastronomia|PaseoEnCuatrimoto|Gastronomia
30,Huacho,Desayuno|Tour|Alojamiento|Regular|Playa|Cultura|PlazaDeArmas|Gastronomia|Feria|Gastronomia|MercadoArtesanal
31,Tingo María,Desayuno|Tour|Alojamiento|Regular|Selva|Amazonia|Fauna|Flora|CuevaDeLasLechuzas|LagunaDeLosMilagros|Gastronomia|Caminatas
32,Tumbes,Desayuno|Tour|Alojamiento|Regular|Playa|Selva|Fauna|Flora|Buceo|Pesca|Gastronomia|MercadoArtesanal
33,Barranca,Desayuno|Tour|Alojamiento|Regular|Playa|Arqueologia|Cultura|LagunaElParaiso|PiscinasNaturales|Gastronomia|PaseoEnBote
